Movie Name,Director,Release Year,My Rating,Genre,Own
Gods and Monsters,Bill Condon,1998,7.89,Drama,No
Hype,Doug Pray,1996,7.89,Documentary,No
Office Space,Mike Judge,1999,7.89,Comedy,No
Rosemary's Baby,Roman Polanski,1968,7.89,Horror,No
The Muppets,James Bobin,2011,7.89,Family,No
Wonder Boys,Curtis Hanson,2000,7.89,Drama,No
Young Adult,Jason Reitman,2011,7.89,Drama,No
Bowling for Columbine,Michael Moore,2002,7.88,Documentary,No
Edward Scissorhands,Tim Burton,1990,7.88,Drama,No
I Am Trying to Break Your Heart,Sam Jones,2002,7.88,Documentary,No
Punk-Drunk Love,Paul Thomas Anderson,2002,7.88,Romance,Yes
2001: A Space Odyssey,Stanley Kubrick,1968,7.87,Sci-Fi,No
All About Eve,Joseph L. Mankiewicz,1950,7.87,Classic,No
American Psycho,Mary Harron,2000,7.87,Horror,No
American Splendor,Robert Pulcini,2003,7.87,Independent,Yes
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,7.87,Comedy,No
Beautiful Girls,Ted Demme,1996,7.87,Drama,No
Kill Bill: Vol. 1,Quentin Tarantino,2003,7.87,Action,No
Marwencol,Jeff Malmberg,2010,7.87,Documentary,No
Once Upon a Time in Mexico,Robert Rodriguez,2003,7.87,Action,Yes
The Fighter,David O. Russell,2010,7.87,Sports,No
Audition,Takashi Miike,1999,7.86,Horror,No
Badlands,Terrence Malick,1973,7.86,Drama,No
Black Dynamite,Scott Sanders,2009,7.86,Comedy,No
Blue Valentine,Derek Cianfrance,2010,7.86,Romance,No
Borat,Larry Charles,2006,7.86,Comedy,No
Do the Right Thing,Spike Lee,1989,7.86,Drama,No
Ghostbusters 2,Ivan Reitman,1989,7.86,Comedy,No
Spider-Man 2,Sam Raimi,2004,7.86,Action,No
Super Size Me,Morgan Spurlock,2004,7.86,Documentary,Yes
The Celebration,Thomas Vinterberg,1998,7.86,Foreign,No
The Kid,Charles Chaplin,1921,7.86,Classic,No
The King's Speech,Tom Hooper,2010,7.86,Drama,No
Things We Lost in the Fire,Susanne Bier,2007,7.86,Drama,No
Tombstone,George P. Cosmatos,1993,7.86,Western,No
2 Days in New York,Julie Delpy,2012,7.85,Romance,No
Blow Out,Brian de Palma,1981,7.85,Thriller,No
Bob Dylan: Don't Look Back,D.A. Pennebaker,1967,7.85,Documentary,No
Don Jon,Joseph Gordon-Levitt,2013,7.85,Romance,No
Frozen,Jennifer Lee,2013,7.85,Family,No
Gattaca,Andrew Niccol,1997,7.85,Sci-Fi,No
Margin Call,J.C. Chandor,2011,7.85,Drama,No
Monty Python and the Holy Grail,Terry Gilliam,1975,7.85,Comedy,No
Neighbors,Nicholas Stoller,2014,7.85,Comedy,No
Star Wars: Return of the Jedi,Richard Marquand,1983,7.85,Sci-Fi,No
The Hurt Locker,Kathryn Bigelow,2008,7.85,War,No
The Sessions,Ben Lewin,2012,7.85,Independent,No
Chungking Express,Kar Wai Wong,1994,7.84,Foreign,No
Mean Creek,Jacob Aaron Estes,2004,7.84,Independent,No
Milk,Gus Van Sant,2008,7.84,Drama,No
Miller's Crossing,Joel and Ethan Coen,1990,7.84,Action,No
Paper Moon,Peter Bogdanovich,1973,7.84,Comedy,No
Sound of My Voice,Zal Batmanglij,2011,7.84,Independent,No
Sugar,Ryan Fleck,2008,7.84,Independent,No
The Hobbit: An Unexpected Journey,Peter Jackson,2012,7.84,Fantasy,No
Water Lilies,Céline Sciamma,2007,7.84,Foreign,No
X-Men: First Class,Matthew Vaughn,2011,7.84,Action,No
[REC],Jaume Balagueró,2007,7.83,Horror,No
Alien,Ridley Scott,1979,7.83,Sci-Fi,No
Austin Powers: The Spy Who Shagged Me,Jay Roach,1999,7.83,Comedy,No
Blazing Saddles,Mel Brooks,1974,7.83,Comedy,No
